Date,Open,High,Low,Close,Volume
8/10/2023,131.970001,132.647003,130.035004,130.210007,17855700
8/11/2023,129.201996,130.440002,128.75,130.169998,15191500
8/14/2023,129.850006,131.910004,129.589996,131.830002,17526200
8/15/2023,131.589996,131.990005,129.819,130.270004,14769200
8/16/2023,129.279999,130.897995,128.460007,129.110001,17548400
8/17/2023,130.449997,132.490997,129.850006,130.460007,23665600
8/18/2023,129.059998,129.830002,127,128.110001,23619400
8/21/2023,127.849998,129.259995,127.160004,128.929993,21851100
8/22/2023,129.130005,130.949997,128.925003,129.690002,15569400
8/23/2023,130.850006,134.070007,130.509995,133.210007,26497000
8/24/2023,134.727005,134.970001,130.300003,130.419998,18680400
8/25/2023,130.139999,131.399994,128.039993,130.690002,20678100
8/28/2023,132.080002,133.240005,130.850006,131.789993,16715500
8/29/2023,132.998001,137.294998,132.979996,135.490005,30803300
8/30/2023,135.570007,137.25,135.020996,136.929993,21773400
8/31/2023,137.050003,138.399994,136.820007,137.350006,28147900
9/1/2023,138.429993,138.580002,135.940002,136.800003,16665700
9/5/2023,136.440002,137.369995,135.559998,136.710007,17730200
9/6/2023,137.014999,137.479996,134.690002,135.369995,15814300
9/7/2023,134.600006,136.580002,133.960007,136.199997,16976000
9/8/2023,135.869995,137.514999,135.869995,137.199997,17810700
9/11/2023,137.380005,138.264008,136.550003,137.740005,17180800
9/12/2023,137.130005,137.639999,135.929993,136.070007,15212900
9/13/2023,135.899994,137.699997,134.929993,137.5,16394900
9/14/2023,138.389999,139.550003,137.059998,138.990005,19064600
9/15/2023,138.800003,139.360001,137.179993,138.300003,48947600
9/18/2023,137.630005,139.929993,137.630005,138.960007,16233600
9/19/2023,138.25,139.175003,137.5,138.830002,15479100
9/20/2023,138.830002,138.839996,134.520004,134.589996,21473500
9/21/2023,132.389999,133.190002,131.089996,131.360001,22042700
9/22/2023,131.679993,133.009995,130.509995,131.25,17348700
9/25/2023,130.770004,132.220001,130.029999,132.169998,14650000
9/26/2023,130.914001,131.404999,128.190002,129.449997,20378800
9/27/2023,129.440002,131.720001,129.380005,131.460007,18764200
9/28/2023,130.690002,134.179993,130.690002,133.130005,18201400
9/29/2023,134.080002,134.889999,131.320007,131.850006,23224200
10/2/2023,132.154999,135.360001,132.065002,135.169998,19210400
10/3/2023,134.929993,135.240005,132.815002,133.300003,19628700
10/4/2023,133.660004,136.570007,133.429993,136.270004,22848000
10/5/2023,136.130005,136.5,134.455002,135.990005,15922900
10/6/2023,134.940002,139.186005,134.940002,138.729996,20819300
10/9/2023,137.990005,139.970001,136.699997,139.5,16599100
10/10/2023,139.509995,140.740005,138.429993,139.199997,19554900
10/11/2023,139.850006,142.220001,139.839996,141.699997,20146300
10/12/2023,142.160004,142.380005,139.449997,140.289993,18173100
10/13/2023,140.649994,141.339996,137.970001,138.580002,19438700
10/16/2023,139.729996,140.904999,139.320007,140.490005,17345600
